Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11
,,,,,,,,239,16959,1580,1196,2369,271,1463,2612,7876,2477,21402,82340
,,,,,,,,240,15338,1480,1121,2220,254,1371,2446,7308,2295,20273,76362
,,,,,,,,241,12947,1180,894,1771,202,1095,1946,5639,1751,16710,63997
,,,,,,,,242,11883,1127,853,1692,193,1046,1858,5333,1653,15796,60637
,,,,,,,,243,11261,1090,824,1634,186,1011,1795,5120,1586,15195,58746
,,,,,,,,244,10933,1073,813,1609,183,995,1768,5045,1563,15022,58091
,,,,,,,,245,10751,1075,814,1613,184,997,1771,5067,1570,15185,58668
,,,,,,,,246,11049,1114,844,1671,191,1033,1836,5288,1641,15999,61572
,,,,,,,,247,12094,1232,933,1848,211,1142,2035,5957,1862,17735,66036
,,,,,,,,248,14299,1395,1057,2094,240,1293,2305,6788,2126,19629,71617
,,,,,,,,249,15315,1483,1123,2224,254,1374,2448,7202,2252,20814,76181
,,,,,,,,250,15620,1549,1173,2324,265,1436,2556,7497,2340,21555,79984
,,,,,,,,251,15899,1594,1207,2391,273,1477,2631,7732,2416,22448,83571
,,,,,,,,252,15188,1535,1162,2302,263,1423,2530,7377,2293,19688,83555
,,,,,,,,253,15096,1551,1174,2326,265,1438,2559,7483,2331,19662,84560
,,,,,,,,254,14032,1604,1214,2406,275,1487,2648,7804,2438,20937,86438
,,,,,,,,255,13859,1588,1203,2382,272,1472,2621,7714,2409,21444,88207
,,,,,,,,256,14299,1604,1214,2405,275,1486,2649,7865,2464,21865,91077
,,,,,,,,257,14592,1621,1228,2433,278,1502,2681,8038,2526,22317,92849
,,,,,,,,258,15088,1609,1219,2414,276,1490,2661,8069,2542,22309,94406
,,,,,,,,259,14271,1503,1138,2254,258,1392,2483,7511,2358,20229,90561
,,,,,,,,260,13154,1411,1068,2117,242,1308,2328,6958,2171,19159,83672
,,,,,,,,261,12978,1385,1048,2077,238,1284,2283,6770,2104,18808,81294
,,,,,,,,262,13364,1407,1065,2111,241,1306,2319,6845,2122,19179,80494
,,,,,,,,263,13854,1334,1010,2000,228,1237,2197,6431,1992,18231,76098
,,,,,,,,264,14226,1286,974,1929,220,1193,2121,6202,1929,18067,71910
,,,,,,,,265,13069,1198,908,1798,206,1111,1975,5720,1775,16743,67278
,,,,,,,,266,11943,1131,856,1697,194,1049,1864,5347,1656,15689,63283
,,,,,,,,267,11232,1090,826,1635,186,1011,1796,5118,1584,15045,60610
,,,,,,,,268,10898,1069,810,1604,183,992,1761,5018,1553,14833,59463
,,,,,,,,269,10690,1068,810,1603,183,992,1761,5030,1558,14910,59625
,,,,,,,,270,10964,1105,836,1657,189,1025,1820,5233,1624,15574,62272
,,,,,,,,271,11989,1219,922,1829,209,1130,2012,5880,1836,17223,66550
,,,,,,,,272,14240,1379,1045,2070,236,1278,2278,6703,2098,19256,72988
,,,,,,,,273,15219,1490,1128,2235,256,1380,2460,7239,2264,20571,78614
,,,,,,,,274,15537,1568,1188,2352,268,1453,2587,7597,2372,21350,83207
,,,,,,,,275,15925,1621,1228,2433,278,1503,2677,7877,2462,22064,87654
,,,,,,,,276,13215,1547,1171,2320,265,1434,2549,7419,2303,19182,87643
,,,,,,,,277,13242,1559,1180,2339,267,1445,2570,7494,2328,19264,89446
,,,,,,,,278,13199,1576,1194,2365,271,1461,2600,7599,2364,19661,92059
,,,,,,,,279,13493,1598,1209,2397,274,1481,2635,7729,2408,20566,94833
,,,,,,,,280,14095,1625,1230,2438,279,1506,2683,7946,2484,21184,97562
,,,,,,,,281,14768,1662,1258,2493,284,1539,2746,8222,2581,21728,100021
,,,,,,,,282,15417,1648,1247,2471,282,1525,2724,8245,2594,21715,100117
,,,,,,,,283,14488,1520,1150,2279,261,1408,2511,7569,2372,20116,94718
,,,,,,,,284,13290,1420,1075,2129,243,1317,2342,6975,2173,18077,88207
,,,,,,,,285,13156,1380,1045,2071,236,1280,2275,6740,2092,17554,83981
,,,,,,,,286,13061,1400,1060,2099,240,1298,2306,6800,2107,18129,82768
,,,,,,,,287,13503,1340,1015,2011,229,1243,2208,6458,1999,17457,78594
,,,,,,,,288,14155,1313,994,1970,225,1218,2166,6329,1968,17569,74236
,,,,,,,,289,13328,1244,942,1866,213,1154,2050,6111,1897,16611,69403
,,,,,,,,290,12003,1164,881,1746,199,1080,1917,5649,1750,15426,64491
,,,,,,,,291,11385,1114,844,1672,191,1033,1836,5413,1677,14744,61630
,,,,,,,,292,11014,1089,823,1633,186,1010,1793,5287,1637,14319,59578
,,,,,,,,293,10721,1074,813,1611,183,996,1768,5203,1611,14089,58622
,,,,,,,,294,10816,1067,808,1602,183,991,1760,5196,1611,14091,58723
,,,,,,,,295,11067,1100,833,1650,189,1019,1814,5409,1682,14553,59761
,,,,,,,,296,11691,1182,896,1774,202,1096,1952,5916,1848,15746,63391
,,,,,,,,297,12678,1293,979,1940,222,1198,2136,6515,2038,17269,69722
,,,,,,,,298,13861,1392,1053,2088,239,1290,2299,7064,2212,18658,76399
,,,,,,,,299,14690,1469,1112,2204,251,1361,2426,7470,2339,19559,82363
,,,,,,,,300,12209,1414,1071,2121,242,1310,2330,7092,2203,16705,83976
,,,,,,,,301,12397,1444,1094,2167,247,1339,2382,7268,2257,16981,86881
,,,,,,,,302,12303,1459,1105,2189,250,1353,2406,7352,2286,17149,88685
,,,,,,,,303,12351,1474,1116,2211,252,1367,2431,7430,2310,17398,89823
,,,,,,,,304,12442,1489,1127,2234,255,1380,2456,7518,2339,17794,91053
,,,,,,,,305,13234,1496,1132,2244,257,1387,2467,7559,2352,18211,92238
,,,,,,,,306,13258,1494,1131,2242,256,1386,2465,7597,2365,18018,90249
,,,,,,,,307,14091,1443,1093,2166,247,1338,2380,7324,2275,17526,87182
,,,,,,,,308,14103,1407,1065,2111,241,1305,2319,7118,2208,16867,83977
,,,,,,,,309,13885,1379,1045,2070,236,1279,2272,6949,2150,16591,81197
,,,,,,,,310,12989,1406,1064,2109,241,1304,2317,7095,2201,17251,80088
,,,,,,,,311,14197,1360,1030,2041,233,1261,2242,6837,2122,17102,76462
,,,,,,,,312,14035,1326,1004,1990,227,1230,2188,6613,2058,17389,72503
,,,,,,,,313,12826,1239,938,1859,212,1149,2043,6094,1893,16148,67224
,,,,,,,,314,11673,1164,882,1747,199,1080,1918,5657,1753,15022,62858
,,,,,,,,315,11110,1122,849,1682,192,1040,1848,5452,1689,14427,60045
,,,,,,,,316,10765,1091,827,1637,186,1012,1798,5305,1644,14033,58337
,,,,,,,,317,10498,1077,816,1616,184,999,1775,5225,1618,13819,57145
,,,,,,,,318,10443,1064,805,1597,182,987,1753,5177,1605,13821,56878
,,,,,,,,319,10373,1067,808,1601,183,990,1760,5241,1629,13967,57007
,,,,,,,,320,10590,1115,845,1673,191,1034,1842,5573,1741,14832,59648
,,,,,,,,321,11301,1205,912,1807,207,1116,1989,6066,1898,16017,64828
,,,,,,,,322,12441,1290,977,1935,222,1195,2133,6556,2056,17224,70049
,,,,,,,,323,13275,1359,1029,2039,233,1259,2246,6929,2174,18120,74714
,,,,,,,,324,11618,1366,1033,2048,234,1265,2255,6930,2168,17430,76283
,,,,,,,,325,11197,1390,1052,2086,239,1289,2297,7075,2212,17289,78384
,,,,,,,,326,10978,1399,1059,2098,240,1295,2310,7125,2230,17204,79839
,,,,,,,,327,10930,1403,1062,2105,241,1300,2317,7151,2238,17075,81103
,,,,,,,,328,11091,1412,1069,2120,242,1309,2334,7212,2259,17602,81987
,,,,,,,,329,11449,1400,1060,2099,240,1296,2311,7135,2232,18243,83212
,,,,,,,,330,11737,1393,1055,2090,239,1291,2301,7134,2232,17430,82519
,,,,,,,,331,12009,1362,1031,2043,233,1262,2249,6981,2183,16619,81595
,,,,,,,,332,12118,1302,985,1952,223,1207,2146,6611,2057,15562,79007
,,,,,,,,333,12114,1345,1018,2019,230,1247,2220,6841,2127,15856,77015
,,,,,,,,334,12949,1366,1033,2047,233,1265,2251,6917,2151,16862,77086
,,,,,,,,335,13537,1316,996,1974,225,1220,2169,6630,2061,16709,74237
,,,,,,,,336,13930,1277,967,1916,218,1184,2107,6383,1989,16824,70900
,,,,,,,,337,12303,1179,893,1769,202,1094,1944,5621,1743,15528,66263
,,,,,,,,338,11383,1123,850,1685,192,1042,1850,5305,1643,14706,62857
,,,,,,,,339,10861,1086,822,1630,186,1008,1790,5098,1578,14221,61003
,,,,,,,,340,10663,1072,811,1607,183,994,1764,5027,1556,14124,60301
,,,,,,,,341,10513,1077,815,1615,184,999,1774,5067,1569,14330,60966
,,,,,,,,342,10884,1121,848,1681,192,1040,1847,5309,1648,15195,64273
,,,,,,,,343,12286,1231,932,1847,211,1141,2031,5937,1853,16920,69637
,,,,,,,,344,14615,1388,1050,2081,238,1286,2291,6738,2109,18920,76713
,,,,,,,,345,15395,1488,1127,2232,255,1379,2456,7216,2254,19976,82442
,,,,,,,,346,15666,1557,1179,2337,267,1444,2570,7518,2344,20554,87238
,,,,,,,,347,16048,1609,1219,2414,276,1491,2656,7788,2430,21264,92387
,,,,,,,,348,15196,1612,1220,2417,276,1493,2658,7782,2424,21103,95516
,,,,,,,,349,15394,1618,1225,2426,277,1500,2668,7802,2429,21010,97825
,,,,,,,,350,14684,1608,1218,2413,276,1491,2651,7725,2400,20541,100023
,,,,,,,,351,13737,1600,1211,2400,274,1484,2636,7659,2375,19908,101693
,,,,,,,,352,14215,1637,1240,2456,280,1518,2699,7919,2464,20689,103496
,,,,,,,,353,14967,1655,1253,2483,283,1534,2730,8058,2512,21149,105179
,,,,,,,,354,15889,1648,1247,2471,282,1526,2718,8107,2531,21814,105024
,,,,,,,,355,15080,1532,1160,2299,262,1421,2526,7495,2328,21112,100461
,,,,,,,,356,14041,1451,1098,2176,248,1345,2389,7023,2172,19858,94626
,,,,,,,,357,14086,1445,1094,2169,247,1341,2380,7000,2164,20338,92028
,,,,,,,,358,13813,1463,1108,2194,250,1357,2409,7087,2192,20574,89786
,,,,,,,,359,14013,1387,1049,2080,238,1286,2284,6681,2069,18913,84180
,,,,,,,,360,14242,1305,988,1958,224,1210,2152,6268,1945,17625,78553
,,,,,,,,361,16921,1295,981,1943,222,1199,2146,6681,2115,17057,64043
,,,,,,,,362,16254,1247,944,1870,214,1154,2066,6419,2035,16311,61943
,,,,,,,,363,15781,1207,914,1811,207,1117,2001,6240,1981,15900,60760
,,,,,,,,364,15350,1163,880,1744,199,1075,1928,6038,1921,15776,60215
,,,,,,,,365,15175,1132,857,1698,194,1047,1878,5894,1877,15862,60241
,,,,,,,,366,15375,1123,850,1685,193,1039,1864,5858,1867,16178,61223
,,,,,,,,367,15781,1137,861,1705,195,1051,1887,5975,1909,16904,62933
,,,,,,,,368,15469,1137,861,1705,195,1051,1887,5978,1907,16913,64428
,,,,,,,,369,14945,1133,858,1700,194,1048,1881,5984,1908,17247,65750
,,,,,,,,370,15215,1150,871,1725,197,1064,1908,6068,1930,17511,66582
,,,,,,,,371,15732,1193,904,1790,205,1104,1979,6304,2002,17779,67132
,,,,,,,,372,15896,1224,927,1836,210,1133,2028,6433,2035,17813,67675
,,,,,,,,373,14852,1217,921,1826,209,1127,2014,6359,2005,16773,67558
,,,,,,,,374,13753,1191,902,1787,204,1103,1970,6179,1941,15325,66251
,,,,,,,,375,13754,1203,910,1804,206,1114,1987,6212,1946,15093,66211
,,,,,,,,376,13953,1213,918,1820,208,1124,2004,6285,1969,15709,66639
,,,,,,,,377,14275,1219,923,1828,209,1129,2014,6340,1987,17272,70290
,,,,,,,,378,15185,1265,957,1897,217,1172,2090,6622,2074,19123,74188
,,,,,,,,379,16239,1372,1039,2058,235,1271,2266,7162,2240,18309,76268
,,,,,,,,380,17653,1400,1060,2099,240,1297,2313,7329,2297,18436,76095
,,,,,,,,381,18676,1425,1079,2138,244,1320,2357,7473,2350,20119,76282
,,,,,,,,382,18402,1420,1075,2131,244,1315,2350,7436,2344,19982,75329
,,,,,,,,383,17904,1389,1052,2084,238,1286,2299,7229,2282,19050,72446
,,,,,,,,384,17008,1337,1012,2005,229,1237,2214,6911,2187,17852,68857
,,,,,,,,385,15055,1255,950,1883,215,1161,2079,6335,2008,16679,65852
,,,,,,,,386,14148,1185,898,1778,203,1097,1965,5991,1903,16236,64119
,,,,,,,,387,13619,1137,861,1706,195,1052,1886,5738,1823,16016,63677
,,,,,,,,388,13472,1111,841,1667,191,1028,1842,5624,1789,16234,64248
,,,,,,,,389,13442,1098,831,1647,188,1016,1821,5579,1777,16715,65849
,,,,,,,,390,13852,1107,838,1661,190,1024,1837,5637,1797,17643,68945
,,,,,,,,391,14538,1137,861,1705,195,1051,1887,5832,1863,19034,73139
,,,,,,,,392,15052,1194,904,1792,205,1104,1983,6126,1957,19744,76982
,,,,,,,,393,15253,1250,947,1876,215,1156,2075,6386,2036,20194,79223
,,,,,,,,394,15794,1300,984,1950,223,1203,2154,6583,2090,20586,81207
,,,,,,,,395,16541,1367,1035,2051,235,1265,2266,6954,2209,21159,83221
,,,,,,,,396,17002,1421,1076,2131,244,1315,2354,7221,2291,21290,84193
,,,,,,,,397,16431,1409,1067,2113,242,1304,2333,7107,2248,19933,83275
,,,,,,,,398,15752,1390,1052,2084,238,1286,2299,6964,2197,18251,81147
,,,,,,,,399,15877,1402,1062,2104,240,1298,2321,7053,2227,18685,81181
,,,,,,,,400,16413,1435,1086,2152,246,1328,2376,7278,2304,19606,82920
,,,,,,,,401,16695,1453,1100,2179,249,1344,2406,7438,2356,22246,87899
,,,,,,,,402,18317,1543,1169,2315,265,1428,2558,8008,2541,25502,95723
,,,,,,,,403,18617,1660,1257,2490,285,1536,2750,8613,2730,24044,94745
,,,,,,,,404,19527,1658,1255,2487,284,1535,2746,8573,2714,22589,91712
,,,,,,,,405,20491,1665,1260,2497,286,1540,2759,8630,2737,23989,91618
,,,,,,,,406,20239,1648,1248,2472,283,1525,2733,8563,2722,23703,90413
,,,,,,,,407,19502,1595,1208,2392,274,1475,2646,8285,2640,22193,86433
,,,,,,,,408,18524,1514,1146,2271,260,1400,2514,7878,2517,20864,82504
,,,,,,,,409,19024,1430,1082,2144,245,1321,2375,7471,2395,20155,79701
,,,,,,,,410,18246,1358,1028,2037,233,1255,2258,7107,2282,19725,78244
,,,,,,,,411,17952,1314,995,1970,226,1214,2184,6865,2205,19619,77919
,,,,,,,,412,17968,1291,978,1937,222,1193,2147,6768,2176,19899,78517
,,,,,,,,413,18356,1284,972,1926,220,1186,2136,6754,2173,20538,80527
,,,,,,,,414,19140,1317,997,1976,226,1216,2192,6959,2243,22221,85878
,,,,,,,,415,23973,1459,1105,2188,251,1346,2434,7868,2557,25782,96594
,,,,,,,,416,31550,1686,1277,2529,290,1556,2814,9112,2965,27916,102613
,,,,,,,,417,32180,1825,1382,2737,314,1684,3043,9789,3175,27561,101930
,,,,,,,,418,30868,1850,1401,2774,318,1708,3080,9821,3172,27067,100232
,,,,,,,,419,29654,1861,1409,2792,320,1719,3098,9872,3185,27090,99298
,,,,,,,,420,29148,1873,1418,2809,322,1730,3116,9897,3187,26925,98867
,,,,,,,,421,27294,1857,1406,2786,319,1716,3089,9784,3147,25422,97219
,,,,,,,,422,25706,1793,1358,2690,308,1657,2980,9380,3008,23879,94527
,,,,,,,,423,26059,1807,1368,2710,310,1669,3002,9461,3034,24110,93698
,,,,,,,,424,26750,1843,1395,2764,317,1703,3064,9695,3114,25325,95344
,,,,,,,,425,28854,1900,1439,2850,327,1755,3161,10089,3246,27335,100060
,,,,,,,,426,32280,2010,1522,3015,345,1856,3346,10798,3481,31180,107870
,,,,,,,,427,34649,2133,1615,3199,367,1970,3550,11449,3686,28637,108053
,,,,,,,,428,36672,2116,1602,3173,364,1954,3520,11340,3650,28317,104460
,,,,,,,,429,38916,2154,1631,3231,370,1989,3587,11608,3747,30441,104535
,,,,,,,,430,27584,1947,1474,2920,334,1799,3235,10314,3304,28568,101865
,,,,,,,,431,25427,1848,1399,2772,317,1708,3071,9757,3125,26729,96525
,,,,,,,,432,24495,1762,1334,2643,303,1628,2929,9308,2988,25250,91765
,,,,,,,,433,24135,1658,1255,2486,285,1531,2758,8793,2830,24351,88480
,,,,,,,,434,23196,1562,1183,2343,268,1443,2599,8286,2669,23864,86614
,,,,,,,,435,22852,1514,1147,2272,260,1399,2520,8021,2584,23707,86134
,,,,,,,,436,22808,1486,1125,2229,255,1372,2474,7889,2543,23820,86541
,,,,,,,,437,23300,1471,1114,2206,253,1358,2448,7824,2523,24374,88140
,,,,,,,,438,23993,1493,1131,2240,257,1379,2487,7969,2575,25951,93148
,,,,,,,,439,28529,1644,1245,2466,283,1516,2746,8979,2929,29517,102869
,,,,,,,,440,37529,1897,1436,2844,326,1749,3169,10373,3389,31686,107980
,,,,,,,,441,39134,2028,1535,3041,349,1870,3384,10990,3578,31203,106084
,,,,,,,,442,37235,2017,1527,3024,347,1861,3361,10795,3497,30400,102801
,,,,,,,,443,34827,2008,1521,3012,345,1854,3345,10707,3461,29705,100404
,,,,,,,,444,33569,2006,1519,3009,345,1853,3339,10639,3431,29024,97943
,,,,,,,,445,31359,1980,1499,2970,340,1829,3295,10463,3370,27214,94966
,,,,,,,,446,29075,1912,1448,2868,329,1767,3180,10040,3226,25160,91482
,,,,,,,,447,28710,1875,1420,2813,322,1733,3117,9814,3148,24887,89206
,,,,,,,,448,29400,1889,1430,2833,324,1745,3140,9912,3182,26156,90082
,,,,,,,,449,31745,1932,1463,2898,332,1785,3213,10231,3290,28436,93668
,,,,,,,,450,35612,2068,1566,3101,355,1909,3442,11104,3581,31367,100849
,,,,,,,,451,37431,2133,1615,3199,367,1970,3549,11429,3680,30531,100158
,,,,,,,,452,40111,2135,1617,3202,367,1972,3553,11435,3682,30053,97015
,,,,,,,,453,40869,2152,1629,3227,370,1987,3583,11589,3742,30586,96372
,,,,,,,,454,27508,1919,1453,2878,330,1774,3189,10145,3249,27799,93082
,,,,,,,,455,24740,1811,1371,2716,311,1673,3008,9525,3049,25540,86916
,,,,,,,,456,23729,1707,1293,2560,293,1577,2838,8987,2884,23884,81902
,,,,,,,,457,21917,1563,1184,2344,268,1444,2599,8229,2643,22562,78001
,,,,,,,,458,21037,1461,1106,2192,251,1350,2430,7699,2476,21930,76319
,,,,,,,,459,20615,1407,1065,2110,242,1300,2340,7402,2381,21662,75322
,,,,,,,,460,20409,1375,1041,2063,236,1270,2288,7245,2332,21625,75398
,,,,,,,,461,20662,1358,1028,2037,233,1254,2259,7168,2308,22009,76979
,,,,,,,,462,21224,1378,1044,2067,237,1273,2294,7298,2354,23419,81830
,,,,,,,,463,25868,1509,1143,2263,259,1392,2517,8143,2646,26842,90979
,,,,,,,,464,33853,1724,1306,2586,297,1591,2877,9310,3028,28958,96327
,,,,,,,,465,34255,1845,1397,2767,317,1703,3075,9846,3188,28411,94734
,,,,,,,,466,32264,1854,1404,2781,319,1713,3084,9752,3140,27581,91581
,,,,,,,,467,30472,1840,1394,2760,316,1700,3060,9661,3106,27093,88923
,,,,,,,,468,29281,1811,1372,2717,311,1674,3009,9429,3020,26079,86883
,,,,,,,,469,27757,1791,1356,2687,308,1656,2974,9281,2969,25412,84461
,,,,,,,,470,26013,1746,1322,2619,300,1614,2898,8996,2871,24895,81409
,,,,,,,,471,24788,1695,1283,2543,291,1568,2811,8681,2763,23596,78692
,,,,,,,,472,25088,1683,1275,2525,289,1557,2791,8621,2742,23283,79253
,,,,,,,,473,27141,1727,1307,2590,296,1597,2865,8943,2851,24874,82688
,,,,,,,,474,30494,1838,1391,2756,316,1699,3052,9668,3092,28594,89774
,,,,,,,,475,33145,1914,1449,2871,329,1770,3176,10034,3201,27315,89590
,,,,,,,,476,33913,1935,1465,2903,332,1789,3213,10173,3251,26877,87475
,,,,,,,,477,34933,1931,1462,2896,332,1784,3207,10184,3261,27294,87342
,,,,,,,,478,24178,1734,1313,2601,298,1604,2875,8967,2847,25158,85522
,,,,,,,,479,21783,1643,1244,2464,282,1520,2723,8456,2686,23397,80848
,,,,,,,,480,20638,1557,1179,2335,267,1440,2582,8011,2550,21857,76075
